titulo,autor,tema,mes
Vacina Covid-19 Uberlandia ja vacinou 50% da populacao alvo com ao menos a primeira dose ou cota unica do imunizante,Pedro Henrique,vacina,2
Vacina AstraZeneca Ribeirao Preto abre agenda da segunda dose para pessoas de 60 a 62 anos,Pedro Henrique,vacina,7
Barra Mansa vacina gestantes puerperas e lactantes contra a Covid-19 nesta segunda-feira,Maria Clara,vacina,7
Suspeito e preso no RN por comercio clandestino de remedio usado em casos graves de Covid,Sasha Ferreira,saude publica,2
Rio Claro vacina contra Covid-19 pessoas acima de 26 anos; confira horarios e locais,Hugo Sousa,vacina,1
Vacina contra Covid-19 em Pocos de Caldas veja quem pode ser vacinado hoje e o que fazer,Tiago Calisto,vacina,6
Vacina contra Covid-19 em Pouso Alegre veja quem pode ser vacinado hoje e o que fazer,Sasha Ferreira,vacina,4
Sorocaba aplica 2a dose da vacina contra Covid-19 em idosos com mais de 61 anos nesta segunda-feira,Pedro Henrique,vacina,3
Vacina contra Covid em Cabo Frio quem pode ser vacinado quando e o que deve fazer,Pedro Henrique,vacina,5
Aparecida de Goiania vacina contra a Covid-19 moradores a partir de 32 anos,Sasha Ferreira,vacina,1
Alagoas recebe mais de 186 mil doses de vacinas contra Covid nesta semana,Francisco Jose,vacina,4
Secretaria de Estado da Saude alerta municipios sobre importancia do registro adequado das vacinas,Pedro Henrique,vacina,1
Prefeitura de Montes Claros suspende aplicacao da 1a dose das vacinas contra a Covid-19,Francisco Jose,vacina,6
Joao Pessoa aplica segunda dose de vacina contra a Covid-19 nesta segunda-feira (26),Douglas Santos,vacina,2
Prefeito de Balsas decreta estado de calamidade publica na saude,Joao Paulo Araujo,saude publica,2
Guarapuava realiza Dia D para aplicacao de 2a dose da vacina contra Covid na segunda (26); veja publicos,Miguel Angelo,vacina,4
Jundiai abre nesta segunda-feira agendamento da vacina contra Covid para moradores com 32 anos,Douglas Santos,vacina,2
Vacina contra a Covid-19 em Sao Luis veja quem pode ser vacinado hoje e o que fazer,Hugo Sousa,vacina,2
Manifestantes fazem atos contra Bolsonaro e a favor da vacina em Goias,Maria Clara,vacina,5
Vacina da Covid-19 Macapa oferta 1a dose para pessoas de 26 a 59 anos nesta segunda-feira,Sasha Ferreira,vacina,4
Religioso que zombava de vacinas nas redes morre por covid-19 nos EUA,Douglas Santos,vacina,6
Nova Friburgo RJ divulga calendario de aplicacao da segunda dose da vacina contra a Covid-19,Pedro Henrique,vacina,3
Franca SP cadastra moradores com 25 anos ou mais para 'xepa' da vacina contra Covid-19,Maria Clara,vacina,7
Araruama RJ vacina pessoas entre 29 e 31 anos contra a Covid-19 e realiza 'Grande Semana da 2a dose',Maria Clara,vacina,5
Manifestantes fazem atos contra Bolsonaro e a favor da vacina nos 26 estados e no DF,Pedro Henrique,vacina,7
Morre aos 83 anos o ex-ministro da Ciencia e Tecnologia Marco Antonio Raupp,Tiago Calisto,ciencia e tecnologia,3
Campos RJ recebe nova remessa da vacina Astrazeneca neste sabado,Maria Julia,vacina,7
Oito capitais do pais interrompem a aplicacao da 1a dose da vacina contra a Covid,Miguel Angelo,vacina,1
Estudo avalia necessidade de terceira dose de vacina,Sasha Ferreira,vacina,7
Manifestantes fazem atos contra Bolsonaro e a favor da vacina no Sul do Rio,Tiago Calisto,vacina,3
Marituba vacina pessoas de 40 a 49 anos,Teodora Alves,vacina,7
Sao Carlos tem 1.256 atrasados da 2a dose da vacina contra a Covid,Douglas Santos,vacina,3
Anvisa encerra processo que analisava uso emergencial da vacina Covaxin no Brasil,Maria Julia,vacina,1
E #FAKE que presidente da Anvisa disse que populacao corre risco ao tomar vacinas experimentais,Miguel Angelo,vacina,2
Cidades do Parana tem manifestacoes contra o presidente Bolsonaro e a favor da vacina contra a Covid,Tiago Calisto,vacina,2
Anvisa cancela pedido de uso emergencial da vacina Covaxin,Pedro Henrique,vacina,3
Entidades judaicas criticaram encontro de deputada alema da extrema-direita com Bolsonaro,Thales Peres,ciencia e tecnologia,5
Manifestantes protestam em Porto Velho contra o governo Bolsonaro e a favor da vacina,Maria Clara,vacina,2
Aplicacoes das 1a e 2a doses da vacina contra Covid -19 em Salvador sao suspensas no domingo,Francisco Jose,vacina,4
Rio suspende aplicacao da primeira dose da vacina contra a Covid,Pedro Henrique,vacina,1
RN recebe lotes com quase 180 mil doses de vacinas contra Covid ate quarta-feira (28),Joao Paulo Araujo,vacina,2
Campina Grande aplica neste sabado (24) a segunda dose da vacina contra a Covid-19,Sebastiao Silva,vacina,2
Anvisa suspende estudos clinicos da vacina Covaxin no Brasil,Francisco Jose,vacina,2
Joao Pessoa aplica segunda dose de vacina contra a Covid-19 neste sabado (24),Hugo Sousa,vacina,3
CPI sera retomada em agosto com novos depoimentos sobre suspeitas na compra de vacinas,Teodora Alves,vacina,7
Salvador (BA) suspende aplicacao da primeira dose de vacina contra Covid,Pedro Henrique,vacina,3
Vacina contra Covid em Campo Grande veja quem pode ser vacinado e o que fazer,Pedro Henrique,vacina,4
Chuva de meteoros podera ser vista em Sergipe na proxima semana,Sasha Ferreira,ciencia e tecnologia,7
Sesab solicita aos trabalhadores que recusaram vacina contra a Covid-19 que preencham termo e planilha,Sebastiao Silva,vacina,7
Curitiba vacina pessoas com 37 anos completos,Teodora Alves,vacina,2
Menor municipio de SP Bora vacina jovens a partir de 20 anos contra Covid,Douglas Santos,vacina,5
5 capitais suspendem a aplicacao da 1a dose da vacina contra a Covid-19,Joao Paulo Araujo,vacina,5
Vacina contra Covid-19 em Divinopolis veja quem pode ser vacinado hoje e o que fazer,Sasha Ferreira,vacina,7
Grupo de adolescentes recebe a vacina contra Covid-19 em Eusebio na Grande Fortaleza,Douglas Santos,vacina,6
Economia brasileira cresce 12% no primeiro trimestre e volta ao patamar de antes da pandemia,Teodora Alves,economia brasileira,1
Economistas falam sobre PIB e sobre o que esperar da economia brasileira,Miguel Angelo,economia brasileira,6
Economia brasileira cresce 12% no primeiro trimestre e volta ao patamar de antes da pandemia,Maria Julia,economia brasileira,6
Economia brasileira cresce 12% no primeiro trimestre e volta ao patamar de antes da pandemia,Sasha Ferreira,economia brasileira,7
Entidades judaicas criticaram encontro de deputada alema da extrema-direita com Bolsonaro,Joao Paulo Araujo,ciencia e tecnologia,2
Economia brasileira cria mais de 120 mil empregos com carteira assinada em abril,Maria Clara,economia brasileira,7
Al Gore diz que economia brasileira pode encolher 17% ate 2048 se o pais nao combater o aquecimento global,Teodora Alves,economia brasileira,5
Al Gore afirma que economia brasileira pode encolher 17% ate 2048 se o pais nao combater aquecimento,Thales Peres,economia brasileira,1
Economia brasileira cresce 17% em fevereiro na comparacao com janeiro,Maria Clara,economia brasileira,6
Taxa Selic entenda o que e a taxa basica de juros da economia brasileira,Tiago Calisto,economia brasileira,5
Juros em alta dolar inflacao e pandemia especialista explica o que vem pela frente na economia brasileira,Hugo Sousa,economia brasileira,1
Economia brasileira cresce 17% em fevereiro de acordo com Banco Central,Teodora Alves,economia brasileira,5
Economia brasileira teve tombo de 4% em 2020 aponta monitor do PIB da FGV,Maria Julia,economia brasileira,2
Economia brasileira cresce 086% em outubro,Hugo Sousa,economia brasileira,2
Como a pandemia 'baguncou' a economia brasileira em 2020,Sebastiao Silva,economia brasileira,5
Tecnologia de realidade mista ajuda Policia Civil de SC durante treinamento,Maria Clara,ciencia e tecnologia,5
'Previa' do PIB do Banco Central indica que economia brasileira teve retracao de 405% em 2020,Francisco Jose,economia brasileira,1
Vacinacao em massa e 'decisiva' para o bom desempenho da economia brasileira diz Guedes,Maria Clara,economia brasileira,7
Mercado financeiro eleva estimativa de inflacao pela 16a semana seguida e ve Selic a 7% no fim do ano,Joao Paulo Araujo,economia brasileira,4
G1 em 1 Minuto Economia brasileira recuou 405% em 2020 aponta previa do PIB,Maria Clara,economia brasileira,6
Industria e comercio estao entre os destaques do crescimento da economia brasileira,Maria Clara,economia brasileira,7
OCDE preve tombo menor para economia brasileira,Pedro Henrique,economia brasileira,3
Saiba como o resultado da eleicao americana influencia a economia brasileira,Thales Peres,economia brasileira,5
Economia brasileira cresceu 75% no terceiro trimestre aponta monitor do PIB da FGV,Pedro Henrique,economia brasileira,5
Economia brasileira cresceu 22% em agosto aponta monitor do PIB FGV,Sasha Ferreira,economia brasileira,6
Dia das Criancas deve movimentar economia brasileira aponta pesquisa,Tiago Calisto,economia brasileira,3
Ministerio da Ciencia e Tecnologia apresenta estudo de vacinas brasileiras contra Covid-19,Tiago Calisto,ciencia e tecnologia,6
Economia brasileira cria 249.388 empregos com carteira assinada em agosto,Sebastiao Silva,economia brasileira,5
Investimentos na economia brasileira crescem em maio,Douglas Santos,economia brasileira,2
De onde vem o que eu como serie do G1 mostra a origem dos alimentos consumidos no pais,Joao Paulo Araujo,economia brasileira,7
Trump ou Biden? Saiba os reflexos da eleicao americana na economia brasileira,Pedro Henrique,economia brasileira,5
Veja como aumentar suas chances de conquistar uma vaga de trabalho,Douglas Santos,economia brasileira,2
Economia brasileira cai 1094% no segundo trimestre segundo IBC-Br,Joao Paulo Araujo,economia brasileira,7
FMI revisa estimativas do PIB em 2020 e ve tombo global menor; economia brasileira deve 'encolher' 58%,Hugo Sousa,economia brasileira,7
Indicadores de maio de junho apontam reacao da economia brasileira,Sebastiao Silva,economia brasileira,5
Copom manteve a taxa basica de juros da economia brasileira em 2% ao ano,Douglas Santos,economia brasileira,3
Indicadores de maio e junho apontam reacao da economia brasileira,Douglas Santos,economia brasileira,1
Ministerio de Ciencia e Tecnologia apresenta estudos a deputados sobre vacinas brasileiras,Francisco Jose,ciencia e tecnologia,5
Economia brasileira ocupa o penultimo lugar num ranking de competitividade,Hugo Sousa,economia brasileira,1
Economia brasileira perde 10.984 empregos com carteira assinada em junho,Pedro Henrique,economia brasileira,5
Economia brasileira perde 10.984 empregos com carteira assinada em junho,Joao Paulo Araujo,economia brasileira,7
Preferencia por comida caseira e trabalho flexivel pesquisa indica mudancas de habitos dos brasileiros pos-pandemia,Francisco Jose,economia brasileira,5
'Previa do PIB' aponta queda de 1094% na economia brasileira no segundo trimestre,Tiago Calisto,economia brasileira,7
Economia brasileira cresceu 02% em fevereiro calcula FGV,Pedro Henrique,economia brasileira,2
Piora fiscal e descontrole do coronavirus podem empurrar economia brasileira para depressao,Maria Clara,economia brasileira,2
Entenda por que esta chovendo menos no Brasil e se ha risco de nova crise hidrica em SP,Teodora Alves,economia brasileira,1
Especialistas analisam os impactos da crise politica na economia brasileira,Thales Peres,economia brasileira,3
Copom reduz taxa basica de juros da economia brasileira para 2% ao ano,Francisco Jose,economia brasileira,6
Bolsa do Povo Educacao abre mais de 14 mil vagas na regiao de Sorocaba,Maria Julia,educacao,6
Ministerio da Ciencia e Tecnologia apresenta estudo de vacinas brasileiras contra Covid-19,Francisco Jose,ciencia e tecnologia,6
Economia brasileira da sinais de recuperacao gradual mostra novo indicador do Itau,Pedro Henrique,economia brasileira,5
Economista fala sobre efeito do coronavirus na economia brasileira,Teodora Alves,economia brasileira,1
Banco Central revisa para baixo a previsao para a economia brasileira em 2020,Pedro Henrique,economia brasileira,3
Recuperacao da economia brasileira deve ser mais lenta que em outros paises,Teodora Alves,economia brasileira,3
Banco Central economia brasileira deve cair 334% neste ano,Miguel Angelo,economia brasileira,5
'Previa' do PIB indica tombo de 973% na economia brasileira em abril maior queda desde 2003,Teodora Alves,economia brasileira,2
Retrospectiva 2019 a economia brasileira em sete graficos,Maria Julia,economia brasileira,1
Economia brasileira cresceu 07% em janeiro aponta Monitor do PIB da FGV,Pedro Henrique,economia brasileira,5
Coronavirus 4 previsoes para a economia brasileira que despencaram em um mes,Douglas Santos,economia brasileira,3
Veja as informacoes sobre a economia brasileira no quadro "No Fim das Contas",Miguel Angelo,economia brasileira,3
Ministerio da Ciencia e Tecnologia apresenta estudo de vacinas brasileiras contra Covid-19,Maria Julia,ciencia e tecnologia,4
Da industria de celulares a soja os impactos do coronavirus na economia brasileira,Pedro Henrique,economia brasileira,6
Copom corta taxa basica de juros da economia brasileira para 3%,Tiago Calisto,economia brasileira,7
Economia brasileira cresce em agosto 007%,Teodora Alves,economia brasileira,6
'Previa' do PIB do BC indica que economia brasileira cresceu 024% em janeiro,Thales Peres,economia brasileira,1
PIB de Pernambuco aumenta 19% em 2019 e supera crescimento de 11% da economia brasileira,Maria Clara,economia brasileira,2
Economia brasileira deve ter melhora apenas gradual dizem analistas,Maria Clara,economia brasileira,7
Analise veja o que esperar da economia brasileira em 2020,Pedro Henrique,economia brasileira,6
Economia brasileira escapa da recessao tecnica,Douglas Santos,economia brasileira,2
Recife lanca campanha de descontos em bares restaurantes hoteis e lojas para quem tomou vacina contra Covid,Joao Paulo Araujo,economia brasileira,3
Coronavirus e cenario de risco para a economia brasileira diz Itau,Joao Paulo Araujo,economia brasileira,5
Deputado pede que TCU suspenda bloqueio de recursos do Fundo Nacional de Ciencia e Tecnologia,Joao Paulo Araujo,ciencia e tecnologia,7
No Fim das Contas Veja os imapctos do coronavirus na economia brasileira,Douglas Santos,economia brasileira,1
'Previa' do PIB do Banco Central indica que economia brasileira cresceu 089% em 2019,Douglas Santos,economia brasileira,4
Com 2019 fraco e coronavirus economia brasileira comeca ano com lentidao,Teodora Alves,economia brasileira,5
Emprego informal recorde derruba a produtividade da economia brasileira,Sasha Ferreira,economia brasileira,4
Economia brasileira deve crescer 25% em 2020 diz CNI,Maria Clara,economia brasileira,3
Valdo Cruz 'Economia brasileira em alerta por causa do coronavirus e crises politicas',Sasha Ferreira,economia brasileira,5
Economia mundial deve encolher 6% e brasileira 74% preve OCDE,Teodora Alves,economia brasileira,3
Economia brasileira cresce 06% no terceiro trimestre de 2019,Thales Peres,economia brasileira,4
'Ja se esperava que o BC fosse fazer uma elevacao gradual da taxa Selic' diz Ana Flor,Sasha Ferreira,economia brasileira,6
Economia brasileira encolhe 047% em abril,Sasha Ferreira,economia brasileira,3
Estao abertas as inscricoes para evento que vai discutir ciencia tecnologia e inovacao,Francisco Jose,ciencia e tecnologia,1
Economia do RJ cresce 07% no 1o trimestre em meio a agravamento da pandemia aponta Firjan,Maria Clara,economia brasileira,6
Arminio Fraga fala em dispor 3 a 4% do PIB para aquecer economia brasileira durante crise,Maria Clara,economia brasileira,1
Especialista comenta sobre desafios da economia brasileira,Francisco Jose,economia brasileira,2
Jogo eletronico ajuda na recuperacao de pacientes que tiveram AVC,Sebastiao Silva,jogos eletronicos,6
Jogos eletronicos ficam ainda mais populares durante pandemia,Maria Julia,jogos eletronicos,1
Jessyka fala sobre como comecou a gostar de jogos eletronicos,Maria Clara,jogos eletronicos,6
Influenciador digital participa de jogos online e barulho provoca furia dos vizinhos 'Achavam que eu estava batendo em alguem',Douglas Santos,jogos eletronicos,7
1a edicao dos Jogos Eletronicos do Ifap e dividida em duas modalidades,Pedro Henrique,jogos eletronicos,1
Jessyka conta como se interessou em estudar uma uniao entre Libras e jogos eletronicos,Hugo Sousa,jogos eletronicos,3
Jessyka fala sobre trabalho de interpretacao em Libras em campeonatos de jogos eletronicos,Hugo Sousa,jogos eletronicos,7
Robos de Pernambuco entraram em campo e trouxeram conquista inedita para o Brasil,Douglas Santos,ciencia e tecnologia,5
Casas de jogos eletronicos podem funcionar em Lauro de Freitas e lojas de material de construcao podem abrir aos sabados,Miguel Angelo,jogos eletronicos,1
Equipe do CSA se concentra para competicao de jogos eletronicos,Hugo Sousa,jogos eletronicos,4
'Batom de cereja' em Toquio conheca o DJ que toca hits brasileiros em jogos de volei nas Olimpiadas,Pedro Henrique,jogos eletronicos,7
Sosia do jogador de volei Douglas Souza biometica comenta foto que viralizou 'Ate minha mae e minha irma comecaram a falar',Joao Paulo Araujo,jogos eletronicos,7
Mais de R$ 100 mil sao apreendidos em desdobramento de operacao que investiga exploracao de jogos de azar,Hugo Sousa,jogos eletronicos,3
USP faz evento com exposicao e palestras sobre jogos eletronicos,Pedro Henrique,jogos eletronicos,3
Governo de SP abre inscricoes para torneio estadual de jogos eletronicos,Maria Julia,jogos eletronicos,7
Covid-19 apos nova nota tecnica Juiz de Fora permanece na faixa amarela pela 3a semana,Teodora Alves,jogos eletronicos,1
Secretaria de Esportes do Estado organiza campeonato de jogos eletronicos,Sebastiao Silva,jogos eletronicos,3
Quiz das Olimpiadas de Toquio voce sabe tudo sobre os paises participantes e a organizacao dos Jogos?,Thales Peres,jogos eletronicos,5
10 vacinas tem teste autorizados no Brasil saiba quais sao as tecnologias e status da pesquisa,Joao Paulo Araujo,ciencia e tecnologia,5
Novas regras de aulas particulares da China colocam bilhoes de dolares em jogo,Teodora Alves,jogos eletronicos,4
Jovem e morta a facadas por parceiro de jogos eletronicos na internet; suspeito e preso e age com frieza,Sebastiao Silva,jogos eletronicos,3
Campinas registra 85 mil reclamacoes no Procon Digital no 1o semestre; comercio eletronico esta no topo das queixas,Miguel Angelo,jogos eletronicos,6
Inscricoes para campeonato de jogos eletronicos em SP comecam neste fim de semana,Maria Clara,jogos eletronicos,7
Inscricoes para campeonato de jogos eletronicos em SP comecam neste fim de semana,Joao Paulo Araujo,jogos eletronicos,4
Projeto da USP Sao Carlos oferece minicursos sobre jogos eletronicos,Sasha Ferreira,jogos eletronicos,3
Aumenta a venda de jogos eletronicos,Maria Julia,jogos eletronicos,3
Toquio 2020 Rayssa Leal e a medalhista mais jovem dos Jogos em 85 anos; conheca os prodigios,Douglas Santos,jogos eletronicos,3
GE no DF1 antes brincadeira jogos eletronicos se tornam profissao,Francisco Jose,jogos eletronicos,3
Estudantes da UFPB criam jogo eletronico para combater a violencia contra a mulher,Teodora Alves,jogos eletronicos,4
Maratona de inovacao online focada em Ciencia e Tecnologia tem inscricoes abertas ate sexta-feira; confira,Teodora Alves,ciencia e tecnologia,4
Guarda prende suspeito de roubo transmitido ao vivo durante jogo online em Vinhedo,Pedro Henrique,jogos eletronicos,7
Suspeitos de roubos a caixas eletronicos sao presos pela PRF em PE em acao integrada com policias de AL e RN,Miguel Angelo,jogos eletronicos,1
Parques circos e estacoes de jogos eletronicos podem reabrir em Natal diz decreto,Hugo Sousa,jogos eletronicos,7
Consumo de jogos eletronicos cresce 7% em relacao a 2019,Sasha Ferreira,jogos eletronicos,1
Olimpiadas a historia do juiz do RS que participou dos Jogos de 1996 'Emocionante',Douglas Santos,jogos eletronicos,2
Confinamento provocado pela pandemia acelerou mercado dos games,Maria Clara,jogos eletronicos,3
Casag abre inscricoes para advogados e estagiarios interessados em integrar equipe de jogos eletronicos em Goias,Teodora Alves,jogos eletronicos,7
Time prudentino que surgiu no futebol americano entra no universo dos jogos eletronicos,Thales Peres,jogos eletronicos,7
Jogo eletronico Cartola FC aproxima os amantes do futebol,Joao Paulo Araujo,jogos eletronicos,4
Procura por jogos eletronicos aumenta durante a pandemia de coronavirus,Maria Julia,jogos eletronicos,4
'Ciencia e tecnologia acabaram' em 11 anos orcamento do MEC para as universidades federais cai 37%,Francisco Jose,ciencia e tecnologia,1
Evento virtual voltado para fas de jogos eletronicos sera realizado no final de semana em Salvador; confira,Joao Paulo Araujo,jogos eletronicos,3
Psicologo alerta para riscos de uso excessivo de celular e jogos eletronicos por criancas,Sebastiao Silva,jogos eletronicos,3
Jogos Olimpicos e pandemia veja como paises campeoes de medalhas se sairam no combate a Covid; China e Australia deram melhores respostas,Hugo Sousa,jogos eletronicos,5
Parque tematico japones 'Super Mario' sera inaugurado em fevereiro,Thales Peres,jogos eletronicos,6
VIDEO Redemoinho de poeira interrompe jogo de futebol na Bolivia,Tiago Calisto,jogos eletronicos,6
Codese planeja investir em jogos eletronicos para dinamizar economia de Manaus,Pedro Henrique,jogos eletronicos,2
Psicologa explica beneficios e excessos dos jogos eletronicos no dia a dia,Sasha Ferreira,jogos eletronicos,3
Jogos eletronicos a cada ano tomam conta da rotina das pessoas no mundo,Joao Paulo Araujo,jogos eletronicos,6
Jogo de Realidade Aumentada celebra e conta historia da Independencia do Brasil na Bahia; confira,Maria Julia,jogos eletronicos,7
Game XP como chegar e sair do festival de jogos eletronicos,Maria Julia,jogos eletronicos,5
Comissao do Ministerio da Ciencia e Tecnologia aprova comercializacao da vacina Sputnik V,Thales Peres,ciencia e tecnologia,4
Japao deve ter perda bilionaria com ausencia de publico nos Jogos Olimpicos,Joao Paulo Araujo,jogos eletronicos,3
PF restringe acesso a documentos em sistema eletronico,Sebastiao Silva,jogos eletronicos,5
Serie e-sports O que sao os esportes eletronicos?,Francisco Jose,jogos eletronicos,3
USP de Sao Carlos realiza evento para apaixonados por jogos eletronicos,Pedro Henrique,jogos eletronicos,7
Tecnico da selecao de volei ganha propria versao de 'Sweet Caroline' musica que o ajudou a se recuperar da Covid-19,Francisco Jose,jogos eletronicos,4
Pequenas Empresas & Grandes Negocios Edicao de 30/05/2021,Miguel Angelo,jogos eletronicos,2
Suspeito de estuprar criancas de dois a 13 anos de idade e preso no Ceara,Sasha Ferreira,jogos eletronicos,4
'Jogo de cartas marcadas' em pregoes eletronicos pode ter participacao de agentes publicos diz MPRJ,Teodora Alves,jogos eletronicos,7
Governo de Maduro confirma o pagamento para a transmissao dos jogos olimpicos na TV da Venezuela,Tiago Calisto,jogos eletronicos,1
Pais devem colocar regras e horarios para os filhos brincarem com jogos eletronicos,Francisco Jose,jogos eletronicos,6
Estudos realizados em universidade de Aracaju se destacam em ciencia e tecnologia,Sasha Ferreira,ciencia e tecnologia,1
Secretaria de Seguranca Publica incinera mais de uma tonelada de drogas,Maria Julia,seguranca publica,1
Carlos Almeida tenta exonerar secretario de Seguranca Publica do AM Louismar Bonates,Hugo Sousa,seguranca publica,2
Servidores da seguranca publica de SC protestam na Alesc,Maria Julia,seguranca publica,3
Servidores da seguranca publica fazem protesto em Florianopolis,Sebastiao Silva,seguranca publica,1
Incendio atinge predio da Secretaria de Seguranca Publica do RS em Porto Alegre,Hugo Sousa,seguranca publica,3
Numero de desaparecidos no Acre subiu 74% em um ano aponta Anuario da Seguranca Publica,Sasha Ferreira,seguranca publica,6
Secretaria de Seguranca Publica do RS desmente noticia sobre soltura em massa de presos,Sasha Ferreira,seguranca publica,4
DF tem maior numero de registros de armas do pais aponta Anuario da Seguranca Publica,Joao Paulo Araujo,seguranca publica,5
FOTOS incendio atinge predio da Secretaria de Seguranca Publica do RS,Francisco Jose,seguranca publica,4
No AM Ministerio da Justica e Seguranca Publica coordenam 'Operacao Acalento',Miguel Angelo,seguranca publica,1
Prefeitura de Petrolina convoca 400 auxiliares de limpeza aprovados em selecao da Secretaria de Educacao,Francisco Jose,educacao,7
Amapa e premiado na Feira de Ciencia e Tecnologia da USP,Sebastiao Silva,ciencia e tecnologia,7
Defensoria Publica recomenda uso de cameras de seguranca para policia goiana,Maria Julia,seguranca publica,1
Incendio atinge predio da Secretaria de Seguranca Publica do RS em Porto Alegre,Douglas Santos,seguranca publica,2
Incendio atinge predio da Secretaria de Seguranca Publica do Rio Grande do Sul,Joao Paulo Araujo,seguranca publica,2
As noticias da seguranca publica,Pedro Henrique,seguranca publica,4
Seguranca Publica faz operacao para coibir som alto e perturbacao do sossego em Maceio,Teodora Alves,seguranca publica,7
Incendio atinge predio da Secretaria de Seguranca Publica do RS em Porto Alegre,Sasha Ferreira,seguranca publica,6
Feminicidios crescem 43% em 2020 no MS aponta Anuario de Seguranca Publica,Pedro Henrique,seguranca publica,6
Numeros da Secretaria de Seguranca Publica apontam aumento da violencia em Ribeirao,Sasha Ferreira,seguranca publica,1
Dois bombeiros desaparecem durante combate as chamas no predio da Secretaria de Seguranca Publica do RS,Teodora Alves,seguranca publica,1
MT tem maior taxa de feminicidio do pais em relacao a assassinatos de mulheres diz Anuario da Seguranca Publica,Douglas Santos,seguranca publica,5
UFT abre inscricoes para mestrado em Ciencia e Tecnologia de Alimentos,Tiago Calisto,ciencia e tecnologia,1
Bahia e o 2o estado com maior taxa de morte violenta intencional a cada 100 mil habitantes diz Anuario da Seguranca Publica,Pedro Henrique,seguranca publica,3
Sergipe e o 3o estado com maior taxa de morte violenta intencional a cada 100 mil habitantes diz Anuario da Seguranca Publica,Douglas Santos,seguranca publica,4
Incendio atinge predio da Secretaria de Seguranca Publica do RS; dois bombeiros estao desaparecidos,Sasha Ferreira,seguranca publica,2
Incendio no predio da Secretaria de Seguranca Publica causa alteracoes no transito de Porto Alegre,Tiago Calisto,seguranca publica,3
Anuario Brasileiro de Seguranca Publica revela aumento no numero de homicidios no Piaui,Joao Paulo Araujo,seguranca publica,2
Vice-governador fala sobre incendio no predio da Secretaria de Seguranca Publica do RS,Sebastiao Silva,seguranca publica,5
Bombeiros seguem desaparecidos depois do incendio no predio da secretaria de Seguranca Publica do RS,Joao Paulo Araujo,seguranca publica,1
Pessoas da forca de seguranca publica se vacinam em Altamira,Douglas Santos,seguranca publica,2
Incendio atinge predio da Secretaria de Seguranca Publica do RS; dois bombeiros estao desaparecidos,Teodora Alves,seguranca publica,6
Tulio Milman fala sobre o incendio no predio da Secretaria de Seguranca Publica do RS,Hugo Sousa,seguranca publica,6
CGE investiga irregularidades em pagamentos de 'restos a pagar' feitos pelo Governo do RJ,Pedro Henrique,ciencia e tecnologia,1
Maranhao ja registrou 28 casos de feminicidio em 2021,Douglas Santos,seguranca publica,3
Seguranca publica avanca na vacinacao contra a Covid-19 entre militares no Amapa,Maria Clara,seguranca publica,5
Exames de balistica apontam que PMs tentaram se defender durante ataque no sudoeste da BA diz policia,Maria Clara,seguranca publica,5
Veja os destaques da seguranca publica deste sabado,Teodora Alves,seguranca publica,2
Em 2020 Acre registrou 6.775 chamados por violencia domestica pelo numero de emergencia,Douglas Santos,seguranca publica,5
Idoso e detido suspeito de estuprar menina de 14 anos em Uchoa,Douglas Santos,seguranca publica,2
Profissionais da Seguranca Publica de AL podem tomar 2a dose da vacina contra Covid a partir de segunda,Teodora Alves,seguranca publica,7
Assalto a banco em Criciuma Promotoria pede arquivamento de acao que solicitava explicacoes a orgaos de seguranca publica,Miguel Angelo,seguranca publica,1
Vigilante e detido apos se passar por tenente em conversa com policiais no Ceara,Douglas Santos,seguranca publica,3
As noticias da seguranca publica,Teodora Alves,seguranca publica,1
Vacina desenvolvida pela UFMG esta entre as tres mais avancadas do pais diz ministro da Ciencia e Tecnologia,Joao Paulo Araujo,ciencia e tecnologia,4
As noticias das seguranca publica,Pedro Henrique,seguranca publica,6
As noticias de seguranca publica,Thales Peres,seguranca publica,3
As noticias da seguranca publica,Miguel Angelo,seguranca publica,1
Com 443 taxa de mortes violentas em Rio Branco fica acima da nacional,Hugo Sousa,seguranca publica,7
Confira as noticias da seguranca publica,Thales Peres,seguranca publica,6
As noticias da seguranca publica,Pedro Henrique,seguranca publica,3
Secretario de Seguranca Publica de GO concede entrevista apos morte de Lazaro Barbosa,Francisco Jose,seguranca publica,2
VIDEO 'As investigacoes nao acabam aqui' diz secretario de Seguranca Publica de GO,Douglas Santos,seguranca publica,3
Acao de combate a crimes contra criancas e adolescentes cumpre cinco mandados de prisao em RR,Hugo Sousa,seguranca publica,2
Lazaro poderia agir como jagunco na regiao aponta secretario de Seguranca Publica,Miguel Angelo,seguranca publica,3
Estudo aponta predominancia da variante gama no Sul de Minas,Maria Clara,ciencia e tecnologia,2
Policiais de MT vao usar cameras durante cumprimento de mandados diz secretario,Pedro Henrique,seguranca publica,1
Paraiba tem aumento de 231% no numero de mortes violentas intencionais,Sasha Ferreira,seguranca publica,4
Bahia registra em 2020 quase 12% de casos de feminicidios a mais que em 2019 aponta anuario de seguranca,Tiago Calisto,seguranca publica,2
Secretaria de Seguranca Publica divulga novos indices criminais da Baixada Santista,Joao Paulo Araujo,seguranca publica,3
Orgaos de seguranca publica detalharam servicos prestados neste ano,Joao Paulo Araujo,seguranca publica,5
Bombeiros abrem dois acessos no predio da SSP-RS para operacao de busca a militares desaparecidos,Pedro Henrique,seguranca publica,3
